Group,,instance,burstTime,SPB,SPBch,burstDur,burstPeak,IBI,bISI_mean,bISI_CV,date,wellplateID,wellNo,runID,assayTag,div,wellGroupName,wellGroupColor,Plating Date,control
Group,Instance,Instance,,Spikes per Burst,Spikes per Burst per Electrode,Burst Duration,Burst Peak Firing Rate,IBI,Mean Burst ISI,Burst ISI CV,Date,Wellplate ID,Well Number,Assay Run ID,Assay Tag,DIV,Well Group Name,Well Group Color,,Control
1,88,1,657.35,15,0.37,0.57,0.47,11.79,100.25,1.22,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,89,1,669.14,7,0.17,0.54,0.22,2.52,79.6,0.48,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,90,1,671.66,21,0.51,0.88,0.61,5.31,71.95,0.33,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,91,1,676.97,13,0.32,0.59,0.41,7.99,83.74,0.17,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,92,1,684.96,9,0.22,0.57,0.28,5.79,92.45,1,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,93,1,690.75,17,0.41,0.98,0.43,2.24,191.8,1.08,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,94,1,692.99,12,0.29,0.52,0.37,5.94,78.51,0.59,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,95,1,698.93,13,0.32,0.53,0.43,4.83,26.21,0.22,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,96,1,703.76,12,0.29,0.52,0.41,6.62,38.49,0.5,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,97,1,710.38,10,0.24,0.51,0.34,3.75,26.46,0.18,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,98,1,714.13,6,0.15,0.51,0.18,11.24,81.15,0.95,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,99,1,725.37,12,0.29,1.24,0.22,11.02,105.16,1.11,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,100,1,736.39,6,0.15,0.57,0.19,14.38,33.67,0.05,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,101,1,750.77,14,0.34,0.51,0.44,3.55,51.07,0.73,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,102,1,754.32,8,0.2,0.74,0.2,3.97,182.62,0.75,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,103,1,758.29,9,0.22,0.55,0.3,2.92,43.4,0.13,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,104,1,761.21,15,0.37,0.59,0.52,2.78,36.91,0.5,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,105,1,763.99,6,0.15,0.63,0.17,8.02,94.3,0.55,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,106,1,772.01,13,0.32,0.55,0.4,6.72,83.77,0.57,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,107,1,778.73,7,0.17,0.66,0.23,1.66,114.57,0.35,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,108,1,780.39,15,0.37,1.05,0.31,4.96,46.06,0.26,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,109,1,785.35,19,0.46,0.54,0.62,1.86,62.08,0.61,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,110,1,787.21,14,0.34,0.63,0.47,10.66,78.7,0.55,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,111,1,797.87,17,0.41,0.52,0.54,4.62,42.04,0.43,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,112,1,802.49,7,0.17,0.83,0.19,18.48,212.45,0.45,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,113,1,820.97,9,0.22,0.67,0.26,3.05,132.04,0.99,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,114,1,824.02,7,0.17,0.58,0.24,11.69,53.62,0.22,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,115,1,835.71,15,0.37,0.58,0.54,9.15,40.27,0.31,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,116,1,844.86,15,0.37,0.68,0.4,9.92,87.71,0.26,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,117,1,854.78,11,0.27,0.55,0.33,2.37,59.16,0.3,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,118,1,857.15,10,0.24,0.56,0.32,3.6,49.13,0.44,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,119,1,860.75,5,0.12,0.59,0.19,6.39,57.17,0.37,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,120,1,867.14,18,0.44,0.52,0.57,12.06,41,0.59,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,121,1,879.2,5,0.12,0.37,0.16,1.63,26.07,0.07,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,122,1,880.83,8,0.2,0.93,0.19,1.92,152.48,0.85,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,123,1,882.75,18,0.44,0.92,0.48,6.88,94.77,0.41,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,124,1,889.63,18,0.44,0.54,0.58,2.73,41.46,0.41,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,125,1,892.36,7,0.17,0.56,0.23,N/A,118.2,0.84,4/26/2024,M05357,1,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,126,2,1.55,14,0.3,0.55,0.42,N/A,58.87,0.4,4/26/2024,M05357,2,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,127,2,3.75,18,0.38,0.55,0.47,7.66,73.86,0.44,4/26/2024,M05357,2,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,128,2,11.41,9,0.19,0.57,0.28,2.39,61.54,0.29,4/26/2024,M05357,2,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,129,2,13.8,17,0.36,0.62,0.47,2.31,135.86,0.6,4/26/2024,M05357,2,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
1,130,2,16.11,16,0.34,0.62,0.39,2.37,80.62,0.58,4/26/2024,M05357,2,10,DOP2 W3 Organoids M05357,2,Default Group,#999999,24.4.2024,0
